source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
561,535,Canis familiaris,Dog,Cerebellum,Pyr. silver,Radial,5 to 15,9,71,MAMMALS,
562,536,Canis familiaris,Dog,Spinal cord C1,Tol. blue,Transverse,,9,264,MAMMALS,
563,537,Canis familiaris,Dog,Spinal cord C2,Tol. blue,Transverse,40,15,528,MAMMALS,
564,538,Canis familiaris,Dog,Spinal cord C3,Tol. blue,Transverse,40,15,630,MAMMALS,
565,539,Canis familiaris,Dog,Spinal cord C5,Tol. blue,Transverse,40,15,519,MAMMALS,
566,540,Canis familiaris,Dog,Spinal cord C6,Tol. blue,Transverse,40,13,394,MAMMALS,
567,541,Canis familiaris,Dog,Spinal cord C7,Tol. blue,Transverse,40,12,360,MAMMALS,
568,542,Canis familiaris,Dog,Spinal cord C8,Tol. blue,Transverse,,11,350,MAMMALS,
569,543,Canis familiaris,Dog,Spinal cord T1,Tol. blue,Transverse,30,6,258,MAMMALS,
570,544,Canis familiaris,Dog,Spinal cord T2,Tol. blue,Transverse,50,5,273,MAMMALS,
571,545,Canis familiaris,Dog,Spinal cord Sac.,Tol. blue,Transverse,50,24,1288,MAMMALS,
572,546,Canis familiaris,Dog,Spinal cord L3 - S1,Tol. blue,Transverse,50,34,1492,MAMMALS,
573,547,Canis familiaris,Dog,Spinal cord T10 - L2,Tol. blue,Transverse,50,28,526,MAMMALS,
574,548,Canis familiaris,Dog,Spinal cord T7 - T10,Tol. blue,Transverse,50,27,1428,MAMMALS,
575,549,Canis familiaris,Dog,Spinal cord T3 - T6,Tol. blue,Transverse,50,28,1379,MAMMALS,
576,550,Canis familiaris,Dog,Spinal cord C1 - C2,Tol. blue,Longitudinal,40,29,116,MAMMALS,
577,551,Canis familiaris,Dog,Spinal cord C3,Tol. blue,Longitudinal,40,27,108,MAMMALS,
578,552,Canis familiaris,Dog,Spinal cord C5,Tol. blue,Longitudinal,50,26,105,MAMMALS,
579,553,Canis familiaris,Dog,Spinal cord T1,Tol. blue,Longitudinal,50,20,80,MAMMALS,
