"Species","Body_Mass.g"
"Microcebus berthae",33.45
"Microcebus griseorufus",60.87
"Microcebus murinus",54
"Microcebus myoxinus",30
"Microcebus ravelobensis",55
"Microcebus rufus",42.75
"Microcebus sambiranensis",49.06
"Microcebus tavaratra",68.01
"Microdillus peeli",35.26
"Microdipodops megacephalus",11.883
"Microdipodops pallidus",13
"Microgale brevicaudata",11.3
"Microgale cowani",15.2
"Microgale drouhardi",11.2
"Microgale dryas",40
"Microgale fotsifotsy",7.7
"Microgale gracilis",23.3
"Microgale gymnorhyncha",18.2
"Microgale longicaudata",7.3
"Microgale mergulus",92
"Microgale monticola",13.9
"Microgale nasoloi",13.83
"Microgale parvula",3.4
"Microgale principula",10.2
"Microgale pusilla",3.4
"Microgale soricoides",18.7
"Microgale taiva",12.4
"Microgale thomasi",22.9
"Microhydromys musseri",17.32
"Microhydromys richardsoni",10.25
"Micromurexia habbema",46.97
"Micromys minutus",6.86
"Micronycteris brosseti",4.85
"Micronycteris hirsuta",12.01
"Micronycteris homezi",6.8
"Micronycteris matses",6.85
"Micronycteris megalotis",6.305
"Micronycteris microtis",6.5
"Micronycteris minuta",6.7
"Micronycteris sanborni",6.3
"Micronycteris schmidtorum",7.665
"Microperoryctes longicauda",538
"Microperoryctes murina",817.52
"Microperoryctes papuensis",158
"Micropotamogale lamottei",64.2
"Micropotamogale ruwenzorii",98.5
"Micropteropus intermedius",59.17
"Micropteropus pusillus",25.885
"Microryzomys altissimus",13.5
"Microryzomys minutus",13.5
"Microsciurus alfari",87.5
"Microsciurus flaviventer",92
"Microsciurus mimulus",120
"Microsciurus santanderensis",99.8
"Microsorex hoyi",3
"Microtus abbreviatus",62
"Microtus agrestis",32.533
"Microtus anatolicus",37.99
"Microtus arvalis",28.4
"Microtus bavaricus",23.94
"Microtus brachycercus",37.99
"Microtus breweri",53.55
"Microtus cabrerae",50.472
"Microtus californicus",48.24
"Microtus canicaudus",29.425
"Microtus chrotorrhinus",39
"Microtus clarkei",48.14
"Microtus daghestanicus",12.99
"Microtus dogramacii",37.99
"Microtus duodecimcostatus",23
"Microtus evoronensis",41.42
"Microtus felteni",24.34
"Microtus fortis",63
"Microtus gerbei",24.89
"Microtus gregalis",47.5
"Microtus guatemalensis",42
"Microtus guentheri",48.367
"Microtus ilaeus",36.67
"Microtus irani",45.36
"Microtus kikuchii",46.3
"Microtus levis",35.49
"Microtus liechtensteini",37.99
"Microtus limnophilus",40.59
"Microtus longicaudus",42.314
"Microtus lusitanicus",24.82
"Microtus majori",18.2
"Microtus maximowiczii",41.312
"Microtus mexicanus",31.9
"Microtus middendorffii",36.49
"Microtus miurus",41
"Microtus mongolicus",27.5
"Microtus montanus",36.785
"Microtus montebelli",39.85
"Microtus mujanensis",41.55
"Microtus multiplex",23.17
"Microtus oaxacensis",39.2
"Microtus ochrogaster",44.203
"Microtus oeconomus",32.368
"Microtus oregoni",21.175
"Microtus paradoxus",37.99
"Microtus pennsylvanicus",35.049
"Microtus pinetorum",25.185
"Microtus qazvinensis",37.99
"Microtus quasiater",40
"Microtus richardsoni",75.325
"Microtus sachalinensis",36.33
"Microtus savii",20
"Microtus schelkovnikovi",26.4
"Microtus schidlovskii",37.99
"Microtus socialis",54.6
"Microtus subterraneus",18.65
"Microtus tatricus",40
"Microtus thomasi",25.67
"Microtus townsendii",54.25
"Microtus transcaspicus",35.17
"Microtus umbrosus",42
"Microtus xanthognathus",97.125
"Millardia gleadowi",30.8
"Millardia kathleenae",93
"Millardia kondana",147
"Millardia meltada",68.7
"Mimetillus moloneyi",8.8
"Mimon bennettii",25.2
"Mimon cozumelae",18.61
"Mimon crenulatum",13.765
"Mimon koepckeae",18.61
"Miniopterus africanus",9.76
"Miniopterus australis",6.625
"Miniopterus fraterculus",7.3
"Miniopterus fuscus",11.065
"Miniopterus gleni",9
"Miniopterus inflatus",14.625
"Miniopterus magnater",14.535
"Miniopterus majori",9
"Miniopterus manavi",7
"Miniopterus medius",11.555
"Miniopterus minor",7.01
"Miniopterus natalensis",10.1
"Miniopterus paululus",9.76
"Miniopterus pusillus",8.605
"Miniopterus robustior",12.06
"Miniopterus schreibersii",11.415
"Miniopterus shortridgei",9.76
"Miniopterus tristis",15.675
"Minopterus macrocneme",9.83
"Miopithecus ogouensis",1577.5
"Miopithecus talapoin",1175
"Mirounga angustirostris",725000
"Mirounga leonina",1803250
"Mirza coquereli",311.6
"Mogera imaizumii",65.53
"Mogera insularis",83.03
"Mogera tokudae",129.5
"Mogera uchidai",75.85
"Mogera wogura",111.5
"Molossops aequatorianus",14.51
"Molossops mattogrossensis",6.83
"Molossops neglectus",11
"Molossops temminckii",6.35
"Molossus aztecus",14.86
"Molossus barnesi",14.8
"Molossus coibensis",18.73
"Molossus currentium",17.79
"Molossus molossus",14.437
"Molossus pretiosus",27
"Molossus rufus",25
"Molossus sinaloae",22.58
"Monachus monachus",286500
"Monachus schauinslandi",198000
"Monachus tropicalis",2e+05
"Monodelphis adusta",35
"Monodelphis americana",19.5
"Monodelphis brevicaudata",83.543
"Monodelphis dimidiata",58
"Monodelphis domestica",150
"Monodelphis emiliae",40
"Monodelphis glirina",61.54
"Monodelphis iheringi",112
"Monodelphis kunsi",11.3
"Monodelphis maraxina",61.57
"Monodelphis osgoodi",112
"Monodelphis palliolata",61.54
"Monodelphis rubida",45.5
"Monodelphis scalops",741
"Monodelphis sorex",48
"Monodelphis theresa",112
"Monodelphis umbristriata",61.54
"Monodelphis unistriata",55.3
"Monodon monoceros",1239164.999
"Monophyllus plethodon",14.855
"Monophyllus redmani",8.755
"Monticolomys koopmani",25
"Mops brachypterus",16
"Mops condylurus",26.073
"Mops congicus",42.95
"Mops demonstrator",18.65
"Mops leucostigma",26.79
"Mops midas",45.22
"Mops mops",30.95
"Mops nanulus",18.65
"Mops niangarae",18.65
"Mops niveiventer",21.7
"Mops petersoni",18.65
"Mops pumilus",11.535
"Mops sarasinorum",24.17
"Mops spurrelli",8.08
"Mops thersites",22
"Mops trevori",18.65
"Mormoops blainvillei",8.8
"Mormoops magna",11.72
"Mormoops megalophylla",15.947
"Mormopterus acetabulosus",11
"Mormopterus beccarii",14.525
"Mormopterus doriae",12.5
"Mormopterus jugularis",11.5
"Mormopterus kalinowskii",13.44
"Mormopterus loriae",7
"Mormopterus minutus",13.44
"Mormopterus norfolkensis",8
"Mormopterus phrudus",13.44
"Mormopterus planiceps",8.8
"Moschiola meminna",2688.697
"Moschus anhuiensis",2145.93
"Moschus berezovskii",9000
"Moschus chrysogaster",14500
"Moschus cupreus",2145.93
"Moschus fuscus",12.5
"Moschus leucogaster",9572.965
"Moschus moschiferus",13000
"Mosia nigrescens",3.25
"Mouse lemur",60
"Mungos gambianus",1500
"Mungos mungo",1395
"Mungotictis decemlineata",650
"Muntiacus atherodes",15600
"Muntiacus crinifrons",36140.99
"Muntiacus feae",22000
"Muntiacus gongshanensis",19906.73
"Muntiacus muntjak",16712.46
"Muntiacus puhoatensis",19506.63
"Muntiacus putaoensis",19506.63
"Muntiacus reevesi",13500
"Muntiacus rooseveltorum",10762.64
"Muntiacus truongsonensis",19506.63
"Muntiacus vuquangensis",36690.82
"Murexechinus melanurus",34.51
"Murexia longicaudata",206.915
"Muriculus imberbis",18.5
"Murina aenea",7.38
"Murina aurata",5.74
"Murina cyclotis",8.58
"Murina florium",4.25
"Murina fusca",6.23
"Murina grisea",6.58
"Murina hilgendorfi",5.92
"Murina huttoni",8.2
"Murina leucogaster",7.55
"Murina puta",6.73
"Murina rozendaali",4.55
"Murina ryukyuana",5.92
"Murina silvatica",5.92
"Murina suilla",3.63
"Murina tenebrosa",5.74
"Murina tubinaris",5.45
"Murina ussuriensis",5.74
"Mus baoulei",9.12
"Mus booduga",13.075
"Mus bufo",9.2
"Mus callewaerti",9.12
"Mus caroli",11.25
"Mus cervicolor",17.7
"Mus cookii",20.47
"Mus crociduroides",28.7
"Mus famulus",22.88
"Mus fernandoni",21.82
"Mus fragilicauda",13.76
"Mus goundae",8.96
"Mus haussa",9.18
"Mus indutus",6.15
"Mus macedonicus",14.56
"Mus mahomet",10
"Mus mattheyi",9.52
"Mus mayori",20.78
"Mus minutoides",7.587
"Mus musculoides",7.115
"Mus musculus",22.782
"Mus neavei",9.53
"Mus orangiae",9.5
"Mus oubanguii",9.16
"Mus pahari",25.73
"Mus phillipsi",12.3
"Mus platythrix",27.2
"Mus saxicola",21.4
"Mus setulosus",9.4
"Mus setzeri",6.65
"Mus shortridgei",34.6
"Mus sorella",9.5
"Mus sp.",24
"Mus spicilegus",14
"Mus spretus",17.3
"Mus tenellus",9.48
"Mus terricolor",9
"Mus triton",13.55
"Mus vulcani",20.2
"Muscardinus avellanarius",25.53
"Musonycteris harrisoni",13.37
"Mustela africana",536.99
"Mustela altaica",180.5
"Mustela erminea",161.548
"Mustela eversmanii",1148.105
"Mustela felipei",211.3
"Mustela frenata",179
"Mustela itatsi",57
"Mustela kathiah",208.08
"Mustela lutreola",515
"Mustela lutreolina",622.3
"Mustela nigripes",859.667
"Mustela nivalis",80.293
"Mustela nudipes",500
"Mustela putorius",1053.592
"Mustela putorius furo",1800
"Mustela sibirica",400
"Mustela strigidorsa",1500
"Mustela subpalmata",350.52
"Mustela vison",915.444
"Mydaus javanensis",2505
"Mydaus marchei",1414.1
"Mylomys dybowskii",114.4
"Mylomys rex",114.4
"Myocastor coypus",5000
"Myodes andersoni",24
"Myodes californicus",18.3
"Myodes centralis",24
"Myodes gapperi",20.068
"Myodes glareolus",20.071
"Myodes imaizumii",24
"Myodes regulus",29.84
"Myodes rex",24
"Myodes rufocanus",33.335
"Myodes rutilus",21.847
"Myodes shanseius",29.22
"Myodes smithii",34.94
"Myoictis melas",145.5
"Myoictis wallacii",200
"Myomimus personatus",37.48
"Myomimus roachi",36.99
"Myomimus setzeri",37.74
"Myomyscus angolensis",52.89
"Myomyscus brockmani",41
"Myomyscus verreauxii",41
"Myomyscus yemeni",52.7
"Myonycteris brachycephala",53.39
"Myonycteris relicta",52
"Myonycteris torquata",39.315
"Myoprocta acouchy",757
"Myoprocta pratti",966.73
"Myopterus daubentonii",23.62
"Myopterus whitleyi",11.5
"Myopus schisticolor",28.3
"Myosciurus pumilio",165
"Myosorex babaulti",10.35
"Myosorex blarina",10.35
"Myosorex cafer",13.4
"Myosorex eisentrauti",10.35
"Myosorex geata",9.35
"Myosorex kihaulei",12.1
"Myosorex longicaudatus",12.98
"Myosorex okuensis",10.35
"Myosorex rumpii",10.35
"Myosorex schalleri",10.35
"Myosorex sclateri",10.35
"Myosorex tenuis",10.35
"Myosorex varius",12.76
"Myosorex zinki",12.1
"Myospalax aspalax",237.75
"Myospalax myospalax",225
"Myospalax psilurus",259.21
"Myotis",30
"Myotis abei",7.74
"Myotis adversus",10.9
"Myotis aelleni",7.26
"Myotis albescens",4.65
"Myotis alcathoe",7.74
"Myotis altarium",11
"Myotis anjouanensis",7.74
"Myotis annamiticus",7.74
"Myotis annectans",9.8
"Myotis atacamensis",6.77
"Myotis ater",7.74
"Myotis auriculus",36.99
"Myotis australis",5.62
"Myotis austroriparius",7.17
"Myotis bechsteinii",9.207
"Myotis blythii",22.47
"Myotis bocagii",7.615
"Myotis bombinus",9.46
"Myotis brandtii",5.3
"Myotis bucharensis",7.74
"Myotis californicus",4.6
"Myotis capaccinii",7.44
"Myotis chiloensis",6.265
"Myotis chinensis",42
"Myotis ciliolabrum",4.89
"Myotis cobanensis",7.26
"Myotis csorbai",7.74
"Myotis dasycneme",14.565
"Myotis daubentonii",7.727
"Myotis davidii",7.74
"Myotis dominicensis",5.9
"Myotis elegans",4.05
"Myotis emarginatus",7.66
"Myotis evotis",6.7
"Myotis fimbriatus",7.74
"Myotis findleyi",5.9
"Myotis formosus",7
"Myotis fortidens",4.35
"Myotis frater",7.55
"Myotis gomantongensis",7.74
"Myotis goudoti",5.56
"Myotis grisescens",10.54
"Myotis hajastanicus",7.74
"Myotis hasseltii",8.125
"Myotis hermani",7.74
"Myotis horsfieldii",6.28
"Myotis hosonoi",7.74
"Myotis ikonnikovi",5.62
"Myotis insularum",6.52
"Myotis keaysi",5.3
"Myotis keenii",6.27
"Myotis laniger",7.74
"Myotis leibii",5.13
"Myotis levis",5.5
"Myotis longipes",7.25
"Myotis lucifugus",7.423
"Myotis macrodactylus",7.2
"Myotis macropus",7.74
"Myotis macrotarsus",12.5
"Myotis martiniquensis",5.9
"Myotis melanorhinus",7.74
"Myotis moluccarum",7.74
"Myotis montivagus",8.3
"Myotis morrisi",9.01
"Myotis muricola",4.52
"Myotis myotis",25.903
"Myotis mystacinus",4.92
"Myotis nattereri",7.213
"Myotis nesopolus",3.5
"Myotis nigricans",4.13
"Myotis nipalensis",7.74
"Myotis occultus",8.79
"Myotis oreias",8.31
"Myotis oxygnathus",21.23
"Myotis oxyotus",5.5
"Myotis ozensis",7.74
"Myotis peninsularis",7.26
"Myotis pequinius",9.52
"Myotis planiceps",5.36
"Myotis pruinosus",7.25
"Myotis punicus",7.74
"Myotis ricketti",7.74
"Myotis ridleyi",4.5
"Myotis riparius",6.75
"Myotis rosseti",3.29
"Myotis ruber",5
"Myotis schaubi",9.46
"Myotis scotti",6.86
"Myotis septentrionalis",7.74
"Myotis sicarius",17.43
"Myotis siligorensis",3.08
"Myotis simus",8.2
"Myotis sodalis",6.91
"Myotis stalkeri",9.05
"Myotis thysanodes",8.415
"Myotis tricolor",13.417
"Myotis velifer",9.5
"Myotis vivesi",25
"Myotis volans",8.46
"Myotis welwitschii",15.5
"Myotis yanbarensis",7.74
"Myotis yesoensis",7.74
"Myotis yumanensis",5.288
"Myotomys sloggetti",109.775
"Myotomys unisulcatus",99.25
"Myoxus glis",138.413
"Myrmecobius fasciatus",487.66
"Myrmecophaga jubata",20000
"Myrmecophaga tridactyla",25351.245
"Mysateles garridoi",929.09
"Mysateles meridionalis",884.61
"Mysateles prehensilis",926.71
"Mystacina robusta",27.25
"Mystacina tuberculata",13.25
"Mystromys albicaudatus",86.877
"Myzopoda aurita",9.1
"Naemorhedus baileyi",27487.5
"Naemorhedus caudatus",27000
"Naemorhedus goral",28500
"Naemorhedus griseus",27655.49
"Nandinia binotata",2906.8
"Nanger dama",65712.405
"Nanger granti",50476.307
"Nanger soemmerringii",38341.465
"Nannosciurus melanotis",50
"Nanonycteris veldkampii",21.89
"Napaeozapus insignis",23.1
"Nasalis larvatus",12606.667
"Nasua narica",4698.35
"Nasua nasua",3651.712
"Nasuella olivacea",1339.99
"Natalus jamaicensis",5.76
"Natalus major",5.76
"Natalus primus",5.76
"Natalus stramineus",5.48
"Natalus tumidirostris",6.117
"Neacomys dubosti",17.31
"Neacomys guianae",14.2
"Neacomys minutus",17.31
"Neacomys musseri",17.31
"Neacomys paracou",17.31
"Neacomys pictus",17.5
"Neacomys spinosus",19
"Neacomys tenuipes",19
"Neamblysomus gunningi",35.84
"Neamblysomus julianae",21.99
"Necromys amoenus",27.09
"Necromys benefactus",38
"Necromys lactens",32.9
"Necromys lasiurus",39.93
"Necromys lenguarum",38
"Necromys obscurus",40.69
"Necromys punctulatus",37.3
"Necromys temchuki",47.2
"Necromys urichi",44.84
"Nectogale elegans",32.5
"Nectomys apicalis",217.85
"Nectomys magdalenae",217.85
"Nectomys palmipes",156.08
"Nectomys rattus",248.8
"Nectomys squamipes",190.75
"Nelsonia goldmani",88.08
"Nelsonia neotomodon",80
"Neodon forresti",47.71
"Neodon irene",41.87
"Neodon juldaschi",47.71
"Neodon sikimensis",40.51
"Neofelis nebulosa",19582.875
"Neofiber alleni",264.867
"Neohylomys hainanensis",52.21
"Neomys anomalus",14.71
"Neomys fodiens",15.2
"Neomys teres",15.13
"Neonycteris pusilla",12.35
"Neophascogale lorentzi",212
"Neophoca cinerea",189637.5
"Neophocaena phocaenoides",32450
"Neopteryx frosti",153.86
"Neoromicia brunneus",9.56
"Neoromicia capensis",5.96
"Neoromicia flavescens",10.5
"Neoromicia guineensis",5.07
"Neoromicia helios",3.56
"Neoromicia melckorum",5.07
"Neoromicia nanus",3.89
"Neoromicia rendalli",6.42
"Neoromicia somalicus",3.53
"Neoromicia tenuipinnis",5.35
"Neoromicia zuluensis",4.14
"Neotetracus sinensis",290.15
"Neotoma albigula",204.593
"Neotoma angustapalata",198
"Neotoma anthonyi",195.4
"Neotoma bryanti",182
"Neotoma bunkeri",375
"Neotoma chrysomelas",169.5
"Neotoma cinerea",288.53
"Neotoma devia",200
"Neotoma floridana",220.817
"Neotoma fuscipes",211.565
"Neotoma goldmani",198
"Neotoma lepida",136.275
"Neotoma leucodon",220.57
"Neotoma macrotis",206.22
"Neotoma magister",447
"Neotoma martinensis",246
"Neotoma mexicana",203
"Neotoma micropus",307.9
"Neotoma nelsoni",198
"Neotoma palatina",198
"Neotoma phenax",227.5
"Neotoma stephensi",171.9
"Neotomodon alstoni",40
"Neotomys ebriosus",64.5
"Neotragus batesi",2999.99
"Neotragus moschatus",4874.975
"Neotragus pygmaeus",4000
"Neovison macrodon",1150
"Nesiotites hidalgo",9.05
"Nesiotites similis",9.05
"Nesogale dobsoni",32.6
"Nesogale talazaci",50.4
"Nesokia bunnii",154.48
"Nesokia indica",178.08
"Nesolagus netscheri",1500
"Nesolagus timminsi",1500
"Nesomys audeberti",212.5
"Nesomys lambertoni",155
"Nesomys rufus",162.5
"Nesoromys ceramicus",67.38
"Nesoryzomys darwini",55.26
"Nesoryzomys fernandinae",32.5
"Nesoryzomys indefessus",55.26
"Nesoryzomys swarthi",93.95
"Neurotrichus gibbsii",10.233
"Neusticomys monticolus",39.5
"Neusticomys mussoi",40
"Neusticomys oyapocki",4.7
"Neusticomys peruviensis",40
"Neusticomys venezuelae",47.1
"Nilopegamys plumbeus",84
"Ningaui ridei",8.75
"Ningaui timealeyi",5.7
"Ningaui yvonnae",8.017
"Niviventer andersoni",147
"Niviventer brahma",97.3
"Niviventer cameroni",83.06
"Niviventer confucianus",65
"Niviventer coninga",80.65
"Niviventer cremoriventer",69.71
"Niviventer culturatus",81.17
"Niviventer eha",53.6
"Niviventer excelsior",102
"Niviventer fraternus",83.06
"Niviventer fulvescens",82.55
"Niviventer hinpoon",61
"Niviventer langbianis",69.8
"Niviventer lepturus",84.8
"Niviventer niviventer",100
"Niviventer rapit",86.75
"Niviventer tenaster",103
"Noctilio albiventris",33.083
"Noctilio leporinus",59.493
"Nomascus concolor",6455.235
"Nomascus gabriellae",7129.69
"Nomascus hainanus",6850.16
"Nomascus leucogenys",6920
"Nomascus nasutus",5700
"Nomascus siki",6850.16
"Noronhomys vespuccii",47.71
"northern group",16178.5
"Notamacropus parma",4387.5
"Notamacropus rufogriseus",13387.5
"Notiomys edwardsii",21.3
"Notiosorex cockrumi",4.82
"Notiosorex crawfordi",4.797
"Notiosorex evotis",5.28
"Notiosorex villai",4.82
"Notomys alexis",35.592
"Notomys amplus",90
"Notomys aquilo",39
"Notomys cervinus",34.175
"Notomys fuscus",35
"Notomys longicaudatus",100
"Notomys macrotis",90
"Notomys mitchellii",52
"Notomys mordax",90
"Notopteris macdonaldi",67.66
"Notopteris neocaledonica",65.14
"Notoryctes caurinus",41
"Notoryctes typhlops",55
"Nyctalus aviator",21.85
"Nyctalus azoreum",21.85
"Nyctalus furvus",26.44
"Nyctalus lasiopterus",49.73
"Nyctalus leisleri",13.28
"Nyctalus montanus",21.85
"Nyctalus noctula",24.667
"Nyctalus plancyi",26.44
"Nyctereutes procyonoides",5211.667
"Nycteris arge",11.3
"Nycteris aurita",11.86
"Nycteris gambiensis",6.95
"Nycteris grandis",29.78
"Nycteris hispida",8.215
"Nycteris intermedia",10.65
"Nycteris javanica",17.7
"Nycteris macrotis",14.48
"Nycteris madagascariensis",17.69
"Nycteris major",11.21
"Nycteris nana",6.95
"Nycteris parisii",11.86
"Nycteris thebaica",10.137
"Nycteris tragata",14.4
"Nycteris vinsoni",11.86
"Nycteris woodi",7.55
"Nycticebus bengalensis",1126.356
"Nycticebus coucang",888
"Nycticebus javanicus",656.46
"Nycticebus pygmaeus",487.695
"Nycticeinops schlieffeni",5.05
"Nycticeius aenobarbus",8.99
"Nycticeius cubanus",8.99
"Nycticeius humeralis",8.995
"Nyctiellus lepidus",4.48
"Nyctimene aello",84.26
"Nyctimene albiventer",29.71
"Nyctimene cephalotes",44.47
"Nyctimene certans",42.1
"Nyctimene cyclotis",44.2
"Nyctimene draconilla",29
"Nyctimene keasti",51.64
"Nyctimene major",104.15
"Nyctimene malaitensis",75.39
"Nyctimene masalai",52.3
"Nyctimene minutus",45.56
"Nyctimene rabori",67.5
"Nyctimene robinsoni",50.437
"Nyctimene sanctacrucis",51.64
"Nyctimene vizcaccia",37.7
"Nyctinomops aurispinosus",17.95
"Nyctinomops femorosaccus",14.63
"Nyctinomops laticaudatus",12.22
"Nyctinomops macrotis",18.4
"Nyctomys sumichrasti",54.72
"Nyctophilus arnhemensis",6.65
"Nyctophilus bifax",9.895
"Nyctophilus geoffroyi",7.343
"Nyctophilus gouldi",9.858
"Nyctophilus heran",7.63
"Nyctophilus howensis",7.78
"Nyctophilus microdon",7.63
"Nyctophilus microtis",7.1
"Nyctophilus nebulosus",7.78
"Nyctophilus timoriensis",12.077
"Nyctophilus walkeri",4.34
"Ochotona alpina",150
"Ochotona argentata",142.15
"Ochotona cansus",68.75
"Ochotona collaris",129
"Ochotona curzoniae",127.802
"Ochotona dauurica",118.35
"Ochotona erythrotis",181
"Ochotona forresti",111.65
"Ochotona gaoligongensis",111.61
"Ochotona gloveri",181.97
"Ochotona himalayana",189.31
"Ochotona hoffmanni",142.15
"Ochotona huangensis",105.33
"Ochotona hyperborea",120
"Ochotona iliensis",209.75
"Ochotona koslowi",182.03
"Ochotona ladacensis",182.19
"Ochotona macrotis",260
"Ochotona muliensis",182
"Ochotona nigritia",142.15
"Ochotona nubrica",116.21
"Ochotona pallasi",149.62
"Ochotona princeps",145.31
"Ochotona pusilla",142.5
"Ochotona roylei",260
"Ochotona rufescens",250
"Ochotona rutila",182.02
"Ochotona thibetana",83.1
"Ochotona thomasi",111.63
"Ochotona turuchanensis",142.15
"Ochrotomys nuttalli",20.823
"Octodon bridgesi",163.05
"Octodon degus",202.318
"Octodon lunatus",203.1
"Octodon pacificus",194.34
"Octodontomys gliroides",152.075
"Octomys mimax",124.8
"Odobenus rosmarus",923612.5
"Odocoileus hemionus",56601.285
"Odocoileus virginianus",64205.202
"Odocoileus virginiatus",87000
"Oecomys auyantepui",67.41
"Oecomys bicolor",34
"Oecomys catherinae",67.41
"Oecomys cleberi",73.4
"Oecomys concolor",61.55
"Oecomys flavicans",73.4
"Oecomys mamorae",62.5
"Oecomys paricola",73.4
"Oecomys phaeotis",73.4
"Oecomys rex",73.4
"Oecomys roberti",73.4
"Oecomys rutilus",73.4
"Oecomys speciosus",73.4
"Oecomys superans",73.4
"Oecomys trinitatis",73.4
"Oenomys hypoxanthus",90
"Oenomys ornatus",85.5
"Okapia johnstoni",233334.097
"Olallamys albicauda",273.5
"Olallamys edax",206.4
"Oligoryzomys andinus",25.2
"Oligoryzomys arenalis",25.2
"Oligoryzomys brendae",23.96
"Oligoryzomys chacoensis",23
"Oligoryzomys delticola",29.4
"Oligoryzomys destructor",25.2
"Oligoryzomys eliurus",30
"Oligoryzomys flavescens",21.3
"Oligoryzomys fornesi",23.96
"Oligoryzomys fulvescens",25
"Oligoryzomys griseolus",25.2
"Oligoryzomys longicaudatus",27.267
"Oligoryzomys magellanicus",25.2
"Oligoryzomys microtis",22.5
"Oligoryzomys nigripes",20.5
"Oligoryzomys stramineus",23.96
"Oligoryzomys vegetus",15
"Oligoryzomys victus",23.96
"Ommatophoca rossii",214700
"Ondatra zibethicus",1020.48
"Onychogalea fraenata",5025
"Onychogalea lunata",3500
"Onychogalea unguifera",6650
"Onychomys arenicola",30
"Onychomys leucogaster",27.655
"Onychomys torridus",21.363
"Orcaella brevirostris",190000
"Orcinus orca",3798583.333
"Oreamnos americanus",52250.165
"Oreonax flavicauda",8229.12
"Oreotragus oreotragus",12495.483
"Ornithorhynchus anatinus",1372.719
"Orthogeomys cavator",650
"Orthogeomys cherriei",315
"Orthogeomys cuniculus",500
"Orthogeomys dariensis",438
"Orthogeomys grandis",500
"Orthogeomys heterodus",622.5
"Orthogeomys hispidus",521.05
"Orthogeomys lanius",500
"Orthogeomys matagalpae",293
"Orthogeomys thaeleri",440.75
"Orthogeomys underwoodi",250
"Orycteropus afer",60000
"Oryctolagus cuniculus",1800
"Oryx beisa",187788.26
"Oryx dammah",2e+05
"Oryx gazella",175601.432
"Oryx leucoryx",88137.5
"Oryzomys albigularis",60.5
"Oryzomys alfaroi",33.3
"Oryzomys angouya",120.17
"Oryzomys auriventer",60.5
"Oryzomys balneator",60.5
"Oryzomys bolivaris",60.5
"Oryzomys caracolus",57.93
"Oryzomys chapmani",50
"Oryzomys couesi",69.3
"Oryzomys curasoae",57.93
"Oryzomys devius",57.93
"Oryzomys dimidiatus",46
"Oryzomys emmonsae",57.93
"Oryzomys galapagoensis",63.51
"Oryzomys gorgasi",60.5
"Oryzomys hammondi",60.5
"Oryzomys keaysi",58.3
"Oryzomys lamia",60.5
"Oryzomys laticeps",49.11
"Oryzomys legatus",61.5
"Oryzomys levipes",60.5
"Oryzomys macconnelli",58
"Oryzomys maracajuensis",57.93
"Oryzomys marinhus",57.93
"Oryzomys megacephalus",57
"Oryzomys melanotis",50
"Oryzomys meridensis",57.93
"Oryzomys nelsoni",57.93
"Oryzomys nitidus",55.2
"Oryzomys palustris",50.49
"Oryzomys perenensis",57.93
"Oryzomys polius",60.5
"Oryzomys rhabdops",54.88
"Oryzomys rostratus",43.5
"Oryzomys russatus",60.5
"Oryzomys saturatior",54.82
"Oryzomys scotti",57.93
"Oryzomys seuanezi",57.93
"Oryzomys subflavus",50
"Oryzomys talamancae",37.5
"Oryzomys tatei",57.93
"Oryzomys xanthaeolus",79.79
"Oryzomys yunganus",60.5
"Oryzorictes hova",44.2
"Oryzorictes tetradactylus",36
"Osgoodomys banderanus",50
"Osphranter rufus",46250
"Otaria flavescens",207835.265
"Otocyon megalotis",3742.51
"Otolemur crassicaudatus",946.667
"Otolemur garnettii",927.783
"Otolemur monteiri",1404.887
"Otomops formosus",21.4
"Otomops johnstonei",24.19
"Otomops madagascariensis",25
"Otomops martiensseni",38.025
"Otomops papuensis",16.5
"Otomops secundus",21.4
"Otomops wroughtoni",21.4
"Otomys anchietae",115.9
"Otomys angoniensis",108.45
"Otomys barbouri",127.2
"Otomys burtoni",127.2
"Otomys cuanzensis",127.2
"Otomys dartmouthi",127.2
"Otomys denti",120
"Otomys dollmani",127.2
"Otomys irroratus",120.373
"Otomys jacksoni",127.2
"Otomys lacustris",127.2
"Otomys laminatus",145
"Otomys maximus",192
"Otomys occidentalis",115.77
"Otomys orestes",127.2
"Otomys saundersiae",103
"Otomys tropicalis",108.83
"Otomys typus",115.44
"Otomys uzungwensis",127.2
"Otonycteris hemprichii",23.69
"Otonyctomys hatti",36.2
"Otopteropus cartilagonodus",16.75
"Ototylomys phyllotis",91.5
"Ourebia ourebi",15933.52
"Ovibos moschatus",265750.53
"Ovis ammon",117500
"Ovis aries",80000
"Ovis canadensis",73235.472
"Ovis dalli",55650.62
"Ovis nivicola",90000
"Owl monkey",1198.5
"Oxymycterus akodontius",68
"Oxymycterus amazonicus",60.57
"Oxymycterus angularis",68
"Oxymycterus caparoae",60.57
"Oxymycterus dasytrichus",60.57
"Oxymycterus delator",81.5
"Oxymycterus hiska",68
"Oxymycterus hispidus",36.75
"Oxymycterus hucucha",68
"Oxymycterus inca",35
"Oxymycterus josei",60.57
"Oxymycterus nasutus",68
"Oxymycterus paramensis",42
"Oxymycterus quaestor",60.57
"Oxymycterus roberti",83.45
