"species_row","Species_Baron1996","source_concept","NCBI_id","NCBI_name","candidate_name","resolution_status","merge_eligible","source_rows_same_concept","source_rows_same_candidate","within_source_mean_required","note"
240,"M. schreibersi arenarius","Miniopterus schreibersii","9433","Miniopterus schreibersii","Miniopterus schreibersii","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
241,"Miniopterus s. blepotis","Miniopterus schreibersii","9433","Miniopterus schreibersii","Miniopterus schreibersii","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
242,"Miniopterus tristis","Miniopterus tristis","221088","Miniopterus tristis","Miniopterus tristis","NCBI_exact",TRUE,1,1,FALSE,""
243,"Murina cyclotis cyclotis","Murina cyclotis","177185","Murina cyclotis","Murina cyclotis","NCBI_exact",TRUE,2,2,TRUE,""
244,"Murina c. peninsularis","Murina cyclotis","177185","Murina cyclotis","Murina cyclotis","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
245,"Murina huttoni rubella","Murina huttoni","258935","Murina huttoni","Murina huttoni","NCBI_exact",TRUE,1,1,FALSE,""
246,"Murina tubinaris","Murina tubinaris","685785","Murina tubinaris","Murina tubinaris","NCBI_exact",TRUE,1,1,FALSE,""
247,"Harpiocephalus harpia","Harpiocephalus harpia","124749","Harpiocephalus harpia","Harpiocephalus harpia","NCBI_exact",TRUE,1,1,FALSE,""
248,"Kerivoula papillosa","Kerivoula papillosa","59455","Kerivoula papillosa","Kerivoula papillosa","NCBI_exact",TRUE,1,1,FALSE,""
249,"Kerivoula pellucida","Kerivoula pellucida","258925","Kerivoula pellucida","Kerivoula pellucida","NCBI_exact",TRUE,1,1,FALSE,""
250,"Kerivoula phalaena","Kerivoula phalaena",,,"Kerivoula phalaena","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
251,"Phoniscus atrox","Phoniscus atrox",,,"Phoniscus atrox","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
252,"Nyctophilus geoffroyi","Nyctophilus geoffroyi","258945","Nyctophilus geoffroyi","Nyctophilus geoffroyi","NCBI_exact",TRUE,1,1,FALSE,""
253,"Nyctophilus timoriensis","Nyctophilus timoriensis",,,"Nyctophilus timoriensis","MANUAL_REVIEW",FALSE,1,1,FALSE,"Accepted by some backbones, but BatNames reports nomen-dubium/cryptic-species concern."
254,"Tadarida aegyptiaca","Tadarida aegyptiaca","302412","Tadarida aegyptiaca","Tadarida aegyptiaca","NCBI_exact",TRUE,1,1,FALSE,""
255,"Tadarida condylura","Tadarida condylura","258863","Mops condylurus","Mops condylurus","NCBI_exact",TRUE,1,1,FALSE,""
256,"Tadarida mops","Tadarida mops",,,"Mops mops","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
257,"Tadarida niveiventer","Tadarida niveiventer",,,"Mops niveiventer","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
258,"Tadarida beccarii","Tadarida beccarii",,,"Tadarida beccarii","MANUAL_REVIEW",FALSE,1,1,FALSE,"Species is attested, but modern generic placement was not resolved reproducibly."
259,"Tadarida jobensis","Tadarida jobensis",,,"Chaerephon jobensis","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
260,"Tadarida leucostigma","Tadarida leucostigma",,,"Mops leucostigma","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
261,"Tadarida plicata plicata","Tadarida plicata","478698","Chaerephon plicatus","Chaerephon plicatus","NCBI_exact",TRUE,1,1,FALSE,""
262,"Tadarida pumila","Tadarida pumila",,,"Mops pumilus","MANUAL_REVIEW",FALSE,1,1,FALSE,"Historical name is interpreted as Mops pumilus or Chaerephon pumilus by different catalogs."
263,"Otomops martiensseni","Otomops martiensseni","258867","Otomops martiensseni","Otomops martiensseni","NCBI_exact",TRUE,1,1,FALSE,""
264,"Molossops abrasus","Molossops abrasus","748910","Cynomops abrasus","Cynomops abrasus","NCBI_exact",TRUE,1,1,FALSE,""
265,"Molossops greenhalli","Molossops greenhalli",,,"Cynomops greenhalli","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
