Organism,Genus,Species,Common name,VA,MT,SUBSTRATE,METHOD DETAILS,SECONDARY SOURCE,PRIMARY SOURCE 1,PRIMARY SOURCE 2,SPECIES IN PRIMARY REFERENCE,NOTE,PROCEDURE NOTE
Sciurus griseus,Sciurus,griseus,Western gray squirrel ,3.90,B,,,Kirk and Kay 2004,"Jacobs et al., 1982",,,Not included in Veilleaux and Kirk 2014,OK -- ALL THREE SPECIES WERE INCLUDED 
Sciurus niger,Sciurus,niger,Fox squirrel ,3.90,B,,,Veilleaux and Kirk 2014,115,,,,
Setonix brachyurus,Setonix,brachyurus,Quokka,4.00,A,,,Veilleaux and Kirk 2014,"Arrese et al., 1999",62,Setonyx brachyurus,,
Sminthopsis crassicaudata,Sminthopsis,crassicaudatus,Fat-tailed dunnart ,2.36,B,,,Veilleaux and Kirk 2014,"Arrese et al., 1999",,,,
Sotalia fluviatilis,Sotalia,fluviatilis,River dolphin (tucuxi) ,0.90,A,air,,Kirk and Kay 2004,"Mass and Supin, 1999",,,Not included in Veilleaux and Kirk 2014,
Sotalia fluviatilis,Sotalia,fluviatilis,River dolphin (tucuxi) ,1.20,A,water,,Kirk and Kay 2004,"Mass and Supin, 1999",,,Not included in Veilleaux and Kirk 2014,
Spermophilus beecheyi,Spermophilus,beecheyi,California ground squirrel ,4.00,B,,,Veilleaux and Kirk 2014,112,,,,
Suricata suricatta,Suricata,suricatta,Meerkat ,6.30,B,,,Veilleaux and Kirk 2014,30,,,,
Sus scrofa,Sus,scrofa,Pig,9.92,A,,,Veilleaux and Kirk 2014,16,17,,,
Tachyglossus aculeatus,Tachyglossus,aculeatus,Short-beaked echidna,1.69,A,,,Veilleaux and Kirk 2014,"Howland, Merola and Basarb, 2004",70,,,
Taphozous georgianus,Taphozous,georgianus,Brown sheath-tailed bat ,1.30,A,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Tarsipes rostratus,Tarsipes,rostratus,Honey possum ,0.63,B,,,Veilleaux and Kirk 2014,"Arrese et al., 2002",,,,
Tarsius syrichta,Tarsius,syrichta,Philippine tarsier,8.89,A,,,Veilleaux and Kirk 2014,Veilleaux and Kirk 2009,,,,
Trichosurus vulpecula,Trichosurus,vulpecula,Brush-tailed possum ,4.80,A,,,Veilleaux and Kirk 2014,"Freeman and Tancred, 1978",,,,
Tupaia belangeri,Tupaia,belangeri,Tree shrew ,2.40,B,,,Veilleaux and Kirk 2014,"Petry, Fox and Casagrande, 1984",,,,
Tupaia glis,Tupaia,glis,Common treeshrew,4.70,B,,,Veilleaux and Kirk 2014,"Schafer, 1969",,,,
Tursiops truncatus,Tursiops,truncatus,Bottlenose dolphin ,2.50,B,air,,Kirk and Kay 2004,"Herman et al., 1975",,,Not included in Veilleaux and Kirk 2014,
Tursiops truncatus,Tursiops,truncatus,Bottlenose dolphin ,3.80,B,water,,Kirk and Kay 2004,"Herman et al., 1975",,,Not included in Veilleaux and Kirk 2014,
Zalophus californianus,Zalophus,californianus,California sea lion ,5.70,B,,,Kirk and Kay 2004,"Schusterman and Balliet, 1970b",,,Not included in Veilleaux and Kirk 2014,
