"accepted_name","status","matched_tip","matched_via","candidate_source","family_expected","order_expected","n_auto_candidates","n_review_candidates","note"
"Sorex minutus","matched_direct","Sorex_minutus","Sorex minutus","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Spalax ehrenbergi","matched_direct","Spalax_ehrenbergi","Spalax ehrenbergi","accepted_name","Spalacidae","Rodentia",1,0,""
"Suncus etruscus","matched_direct","Suncus_etruscus","Suncus etruscus","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Suncus megalura","matched_direct","Suncus_megalura","Suncus megalura","accepted_name","Soricidae","Eulipotyphla",2,0,""
"Suncus murinus","matched_direct","Suncus_murinus","Suncus murinus","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Sus scrofa domesticus","matched_subspecies_parent","Sus_scrofa","Sus scrofa","subspecies_parent","Suidae","Artiodactyla",2,0,"subspecies -> parent species: a species-level tree has no subspecies tip"
"Sylvisorex granti","matched_direct","Sylvisorex_granti","Sylvisorex granti","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Symphalangus syndactylus","matched_direct","Symphalangus_syndactylus","Symphalangus syndactylus","accepted_name","Hylobatidae","Primates",2,0,""
"Talpa europaea","matched_direct","Talpa_europaea","Talpa europaea","accepted_name","Talpidae","Eulipotyphla",2,0,""
"Tamandua tetradactyla","matched_direct","Tamandua_tetradactyla","Tamandua tetradactyla","accepted_name","Myrmecophagidae","Pilosa",1,0,""
"Tarsius sp.","unresolvable_placeholder","","","","Tarsiidae","Primates",0,0,"genus-level name: no single tip can represent it"
"Tarsius syrichta","matched_direct","Tarsius_syrichta","Tarsius syrichta","accepted_name","Tarsiidae","Primates",2,0,""
"Tayassu tajacu","matched_synonym","Pecari_tajacu","Pecari tajacu","verified_bridge","Tayassuidae","Artiodactyla",2,0,"collared peccary moved to Pecari (Grubb 2005)"
"Tenrec ecaudatus","matched_direct","Tenrec_ecaudatus","Tenrec ecaudatus","accepted_name","Tenrecidae","Afrosoricida",1,0,""
"Trachypithecus francoisi","matched_direct","Trachypithecus_francoisi","Trachypithecus francoisi","accepted_name","Cercopithecidae","Primates",1,0,""
"Tragelaphus strepsiceros","matched_direct","Tragelaphus_strepsiceros","Tragelaphus strepsiceros","accepted_name","Bovidae","Artiodactyla",1,1,""
"Triaenops persicus","matched_direct","Triaenops_persicus","Triaenops persicus","accepted_name","Rhinonycteridae","Chiroptera",1,0,""
