genus_species,tip_name,o_min,o_max,o_range,invertebrate,terrestrial
Dissostichus_mawsoni,Dissostichus_mawsoni_504786,414.3,503.7,89.4,N,N
Scopelarchus_analis,Scopelarchus_analis_988969,479,486,7,N,N
Sephanoides_sephanoides,Sephanoides_sephanoides_513894,371,560,189,N,Y
Anas_platyrhynchos,Anas_platyrhynchos_765167,415,570,155,N,Y
Dromiceius_novae-hollandiae,Dromaius_novaehollandiae_829513,502,564,62,N,Y
Lycaena_rubidus,Lycaena_rubidus_23124,50,568,518,Y,Y
Citellus_lateralis,Callospermophilus_lateralis_604319,435,520,85,N,Y
Cataglyphis_bicolor,Cataglyphis_bicolor_58300,347,506,159,Y,Y
Antheraea_polyphemus,Antheraea_polyphemus_691021,355,370,15,Y,Y
Mamestra_brassicae,Mamestra_brassicae_111041,350,520,170,Y,Y
Bombyx_mori,Bombyx_mori_440274,350,530,180,Y,Y
Deilephila_elpenor,Deilephila_elpenor_3093426,345,520,175,Y,Y
Aglais_urticae,Aglais_urticae_495335,360,530,170,Y,Y
Pieris_brassicae,Pieris_brassicae_167943,360,560,200,Y,Y
Heliconius_numata,Heliconius_numata_358148,400,540,140,Y,Y
Sciurus_carolinensis,Sciurus_carolinensis_410925,530,530,0,N,Y
Geoclemys_reevesii,Mauremys_reevesii_829098,480,650,170,N,Y
Thomomys_bottae,Thomomys_bottae_342237,495,495,0,N,Y
Spermophilus_beecheyi,Otospermophilus_beecheyi_798034,518.9,518.9,0,N,Y
Spermophilus_tridecemlineatus,Ictidomys_tridecemlineatus_989655,517,517,0,N,Y
Aotus_trivirgatus,Aotus_trivirgatus_791711,505,543,38,N,Y
Otolemus_crassicaudatus,Otolemur_crassicaudatus_863763,501,545,44,N,Y
Odocoileus_virginianus,Odocoileus_virginianus_410145,457,540,83,N,Y
Dama_dama,Dama_dama_906310,453,540,87,N,Y
Equus_caballus,Equus_caballus_1068218,428,539,111,N,Y
Squalus_suckleyi,Squalus_suckleyi_1019106,497.5,497.5,0,N,N
Hydrolagus_colliei,,484,484,0,N,N
