Species,measure_class,Measure,Team,role,Value
Archaeolemur majori,hand_morphology,log10_mc5_mm,Baker,primary,1.54468802230268
Arctictis binturong,gait,Duty_Factor,Wimberly,primary,70.64
Arctictis binturong,gait,Gait,Wimberly,primary,LSLC
Arctictis binturong,gait,Phase,Wimberly,primary,21.41
Arctocebus calabarensis,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Arctocebus calabarensis,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Arctocebus calabarensis,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Arctocebus calabarensis,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Arctocebus calabarensis,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Arctocebus calabarensis,manipulation,Tool_use,Baker,secondary,0
Arctocebus calabarensis,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Arctocebus calabarensis,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Arctocebus calabarensis,vocalization,VocalRepertoire,Schniter,primary,2
Arctocebus calabarensis,research_effort,Zoological_record_article_count,Reader,primary,1
