Genus;Species;Location;Subject;Sex;Age;#insertions;Notes on insertions;#bouts;HI;AbsHI;z-score;Category;References;General notes;Clade
Cercocebus;torquatus;Berlin (Tierpark);Sina;f;adult;92;NA;30;-0.739;0.74;-7.089490078;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Berlin (Tierpark);Maja;f;adult;35;NA;18;-0.829;0.83;-4.901894677;left;this study;;Cercopithecoidea
Cercopithecus;diana;Amsterdam;M16061;f;adult;46;NA;21;1;1;6.782329983;right;this study;Cercopithecus diana diana;Cercopithecoidea
Cercopithecus;diana;Amsterdam;Taabo;m;adult;39;NA;21;0.897;0.9;5.604485383;right;this study;Cercopithecus diana diana;Cercopithecoidea
Cercopithecus;diana;Doué la Fontaine;Naya;f;adult;36;NA;24;0.167;0.17;1;ambipreferent;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Doué la Fontaine;Owabi;m;adult;30;NA;11;-1;1;-5.477225575;left;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Osnabrück;Tubili;m;adult;83;NA;19;-0.783;0.78;-7.134676899;left;this study;Cercopithecus diana diana;Cercopithecoidea
Cercopithecus;diana;Mulhouse;Nyaga;f;adult;43;NA;31;-0.116;0.12;-0.762492852;ambipreferent;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Mulhouse;Sassandra;f;adult;43;NA;29;-0.721;0.72;-4.72745568;left;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Mulhouse;female_1;f;juvenile;31;NA;20;1;1;5.567764363;right;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Mulhouse;female_2;f;juvenile;53;NA;37;0.925;0.92;6.730667633;right;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Mulhouse;Bastian;m;adult;56;NA;28;1;1;7.483314774;right;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Duisburg;female_3;f;adult;33;NA;29;-1;1;-5.744562647;left;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Duisburg;Madiba;m;juvenile;90;NA;49;-0.533;0.53;-5.059644256;left;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Duisburg;Eleni;f;juvenile;47;NA;24;-0.787;0.79;-5.397004685;left;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Duisburg;male_1;m;adult;33;NA;32;-0.697;0.7;-4.003786087;left;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Liberec;Kamakwie;f;adult;88;NA;64;0.841;0.84;7.888426505;right;this study;Cercopithecus diana diana;Cercopithecoidea
Cercopithecus;diana;Liberec;Kilimi;f;adult;36;NA;25;0.5;0.5;3;right;this study;Cercopithecus diana diana;Cercopithecoidea
Cercopithecus;diana;Heidelberg;Ghana;m;adult;57;NA;35;-0.123;0.12;-0.92717265;ambipreferent;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Heidelberg;Adriana;f;adult;45;NA;7;1;1;6.708203932;right;this study;Cercopithecus (diana) roloway;Cercopithecoidea
Cercopithecus;diana;Berlin (Tierpark);Solar;m;adult;44;NA;23;1;1;6.633249581;right;this study;Cercopithecus diana diana;Cercopithecoidea
Cercopithecus;diana;Berlin (Tierpark);Hera;f;adult;45;NA;14;1;1;6.708203932;right;this study;Cercopithecus diana diana;Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Marjo;f;adult;NA;NA;203;-0.2;0.2;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercopithecus;neglectus;Université de Rennes, Paimpont;Janice;f;adult;NA;NA;37;-0.84;0.84;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
