Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Hippotragus equinus,,387.9,,
Hippotragus niger,,282.0,,
Histriophoca fasciata,,248.75,,
Holochilus chacarius,,1.61,,
Holochilus sciureus,,1.41,,
Homo sapiens,1508.91,1379.7143,1310.3675,
Hoplomys gymnurus,,4.13,,
Humpback Whale,,,3603.0,
Hyaena brunnea,,106.7,,
Hyaena hyaena,,97.5,,
Hybomys trivirgatus,,1.1,,
Hydrictis maculicollis,,33.0,,
Hydrochaeris hydrochaeris,,75.0,,
Hydrochoeris hydrochaeris,,75.0,,
Hydrochoerus hydrochaeris,74.734,,63.5,
Hydromys chrysogaster,,4.33,4.034,
Hydropotes inermis,,52.0,,
Hydrurga leptonyx,,712.5,,
Hyemoschus aquaticus,,25.2,,
Hylobates agilis,,88.1,,
Hylobates klossii,,87.9913,,
Hylobates lar,,93.994,101.325,
Hylobates moloch,,103.0,,
Hylobates muelleri,,95.3125,101.8,
Hylobates mulleri,,94.3857,,
Hylobates pileatus,,84.6852,,
Hylobates sp.,,101.6667,118.0,
Hylobates syndactylus,,134.8,,
Hylochoerus meinertzhageni,,141.0,,
Hylomys suillus,,,1.2,
Hylopetes spadiceus,,1.87,,
Hypsignathus monstrosus,,3.4,3.767,
Hypsugo crassulus,,0.132,,
Hypsugo imbricatus,,0.137,,
Hypsugo pulveratus,,0.143,,
Hystrix africaeaustralis,,35.71,,
Hystrix brachyura,,37.64,,
Hystrix cristata,,32.4,,
Hystrix indica,,44.07,,
Hystrix sumatrae,,27.04,,
Ia io,,,0.761,
Ichneumia albicauda,,28.3,,
Ictonyx libyca,,4.48,,
Ictonyx striatus,,8.5,,
Ignacius graybullianus,,2.14,,
Indri indri,,38.3,36.7583,
Inia geoffrensis,,633.645,610.0,
Iomys horsfieldii,,3.38,,
Isoodon macrourus,,4.5791,,
Isoodon obesulus,,4.03,5.24,
Isthmomys pirrensis,,1.71,,
Jaculus jaculus,,1.53,,
Jaculus orientalis,,2.5,,
Kerivoula papillosa,,0.31,0.31,
Kerivoula pellucida,,0.203,0.203,
Kerivoula phalaena,,0.116,0.116,
Kobus ellipsiprymnus,,290.0,,
Kobus kob,,204.0,,
Kobus leche,,222.7,,
Kogia breviceps,,1019.0,1012.0,
Kogia sima,,622.0,,
Kogia simus,,,622.0,
Lagenorhynchus acutus,,1103.17,1200.0,
Lagenorhynchus albirostris,,1126.0,1126.0,
Lagenorhynchus obliquidens,,1136.75,1140.0,
Lagenorhynchus obscurus,,886.1,,
Lagidium viscacia,,15.075,,
Lagorchestes conspicillatus,,14.504,,
Lagorchestes hirsutus,,7.77,,
Lagorchestes leporides,,12.6,,
Lagostomus maximus,,12.66,,
Lagostrophus fasciatus,,7.0,,
Lagothrix cana,,99.3441,,
Lagothrix lagothricha,,89.35,101.0,
Lagothrix poeppigii,,99.23,,
Lagurus lagurus,,0.42,,
Lama glama,,264.2,216.77,
Lama glama domesticus,,,216.7667,
