Species,species_as_published,area_as_published,layer,areal_proportion_pct,n_specimens,source,source_location,data_role
Macaca mulatta,Macaca mulatta,area30_posterior_cingulate,inner_main,37,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
Macaca mulatta,Macaca mulatta,area23_posterior_cingulate,molecular,17,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Macaca mulatta,Macaca mulatta,area23_posterior_cingulate,outer_main,40,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Macaca mulatta,Macaca mulatta,area23_posterior_cingulate,granular,11,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Macaca mulatta,Macaca mulatta,area23_posterior_cingulate,inner_main,32,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Macaca mulatta,Macaca mulatta,area31_posterior_cingulate,molecular,12,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Macaca mulatta,Macaca mulatta,area31_posterior_cingulate,outer_main,43,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Macaca mulatta,Macaca mulatta,area31_posterior_cingulate,granular,15,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Macaca mulatta,Macaca mulatta,area31_posterior_cingulate,inner_main,30,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cercocebus albigena,Cercocebus albigena,area29_posterior_cingulate,molecular,17,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Cercocebus albigena,Cercocebus albigena,area29_posterior_cingulate,outer_main,31,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Cercocebus albigena,Cercocebus albigena,area29_posterior_cingulate,inner_main,53,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Cercocebus albigena,Cercocebus albigena,area30_posterior_cingulate,molecular,12,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Cercocebus albigena,Cercocebus albigena,area30_posterior_cingulate,outer_main,51,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Cercocebus albigena,Cercocebus albigena,area30_posterior_cingulate,inner_main,37,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
