"Original_Term","Reference","Standard_old","DosSantos2017_old","JardimMessender2017_old","Standardized_Term"
"NHP","DosSantos_etal_2017_TableS1",NA,NA,NA,"Hippocampus_N,n"
"NHP","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Hippocampus_N,n"
"NMES","DosSantos_etal_2017_TableS1",NA,NA,NA,"Mesencephalon_N,n"
"NMES+D+S","DosSantos_etal_2017_TableS1",NA,NA,NA,"MesencephalonDiencephalonStriatum_N,n"
"NOB","DosSantos_etal_2017_TableS1",NA,NA,NA,"OlfactoryBulb_N,n"
"NOB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"OlfactoryBulb_N,n"
"NP+M","DosSantos_etal_2017_TableS1",NA,NA,NA,"PonsMedulla_N,n"
"NRoB","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"RoB_N,n"
"NRoB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"RoB_N,n"
"NROB","DosSantos_etal_2017_TableS1",NA,NA,NA,"RoB_N,n"
"O/NBR","DosSantos_etal_2017_TableS1",NA,NA,NA,"WholeBrain_O/N"
"O/NBR","JardimMesseder_etal_2017_Table1",NA,NA,NA,"WholeBrain_O/N"
"O/NCB","DosSantos_etal_2017_TableS1",NA,NA,NA,"Cerebellum_O/N"
"O/NCB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Cerebellum_O/N"
"O/NCX","DosSantos_etal_2017_TableS1",NA,NA,NA,"CerebralCortex_O/N"
"O/NCXT","JardimMesseder_etal_2017_Table1",NA,NA,NA,"CerebralCortex_O/N"
"O/ND+S","DosSantos_etal_2017_TableS1",NA,NA,NA,"DiencephalonStriatum_O/N"
"O/NGM","DosSantos_etal_2017_TableS1",NA,NA,NA,"CerebralCortexGrey_O/N"
"O/NHP","DosSantos_etal_2017_TableS1",NA,NA,NA,"Hippocampus_O/N"
"O/NHP","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Hippocampus_O/N"
"O/NMES","DosSantos_etal_2017_TableS1",NA,NA,NA,"Mesencephalon_O/N"
"O/NMES+D+S","DosSantos_etal_2017_TableS1",NA,NA,NA,"MesencephalonDiencephalonStriatum_O/N"
"O/NOB","DosSantos_etal_2017_TableS1",NA,NA,NA,"OlfactoryBulb_O/N"
"O/NOB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"OlfactoryBulb_O/N"
"O/NP+M","DosSantos_etal_2017_TableS1",NA,NA,NA,"PonsMedulla_O/N"
"O/NRoB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"RoB_O/N"
"O/NROB","DosSantos_etal_2017_TableS1",NA,NA,NA,"RoB_O/N"
"OBR","JardimMesseder_etal_2017_Table1",NA,NA,NA,"WholeBrain_O,n"
"OCB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Cerebellum_O,n"
"OCxT","JardimMesseder_etal_2017_Table1",NA,NA,NA,"CerebralCortex_O,n"
"OHP","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Hippocampus_O,n"
"Olfactory bulb Mass, g","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_Mass_g","MOB","MOB.g","OlfactoryBulb_Mass,g"
"Olfactory bulb Mass, g SD","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_Mass_g_SD","",NA,"OlfactoryBulb_Mass,g_SD"
"Olfactory bulb n","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_n","",NA,"OlfactoryBulb_n"
"Olfactory bulb N, n","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_N_n","NOB","NOB","OlfactoryBulb_N,n"
"Olfactory bulb N, n SD","HerculanoHouzel_etal_2015_Table4","OlfactoryBulb_N_n_SD","",NA,"OlfactoryBulb_N,n_SD"
